State,,District,GAUL_CODE,GAUL_NAME
Madhya Pradesh,70079,Dewas,17722,Dewas
Madhya Pradesh,70079,Dhar,17723,Dhar
Madhya Pradesh,70079,Dindori,70172,Dindori
Madhya Pradesh,70079,East Nimar,17725,East Nimar
Madhya Pradesh,70079,Guna,17726,Guna
Madhya Pradesh,70079,Gwalior,17727,Gwalior
Madhya Pradesh,70079,Harda,70173,Harda
Madhya Pradesh,70079,Hoshangabad,17728,Hoshangabad
Madhya Pradesh,70079,Indore,17729,Indore
Madhya Pradesh,70079,Jabalpur,17730,Jabalpur
Madhya Pradesh,70079,Jhabua,17731,Jhabua
Madhya Pradesh,70079,Katni,70174,Katni
Madhya Pradesh,70079,Mandla,17732,Mandla
Madhya Pradesh,70079,Mandsaur,17733,Mandsaur
Madhya Pradesh,70079,Morena,17734,Morena
Madhya Pradesh,70079,Narsinghpur,17735,Narsinghpur
Madhya Pradesh,70079,Neemuch,70175,Neemuch
Madhya Pradesh,70079,Panna,17736,Panna
Madhya Pradesh,70079,Raisen,17739,Raisen
Madhya Pradesh,70079,Rajgarh,17741,Rajgarh
Madhya Pradesh,70079,Ratlam,17742,Ratlam
Madhya Pradesh,70079,Rewa,17743,Rewa
Madhya Pradesh,70079,Sagar,17744,Sagar
Madhya Pradesh,70079,Satna,17745,Satna
Madhya Pradesh,70079,Sehore,17746,Sehore
Madhya Pradesh,70079,Seoni,17747,Seoni
Madhya Pradesh,70079,Shahdol,17748,Shahdol
Madhya Pradesh,70079,Shajapur,17749,Shajapur
Madhya Pradesh,70079,Sheopur,70176,Sheopur
Madhya Pradesh,70079,Shivpuri,17750,Shivpuri
Madhya Pradesh,70079,Sidhi,17751,Sidhi
Madhya Pradesh,70079,Singrauli,17751,Sidhi
Madhya Pradesh,70079,Tikamgarh,17753,Tikamgarh
Madhya Pradesh,70079,Ujjain,17754,Ujjain
Madhya Pradesh,70079,Umaria,70177,Umaria
Madhya Pradesh,70079,Vidisha,17755,Vidisha
Madhya Pradesh,70079,West Nimar,17756,West Nimar
Maharashtra,1498,Ahmednagar,70178,Ahmednagar
Maharashtra,1498,Akola,17758,Akola
Maharashtra,1498,Amravati,17759,Amravati
