"ADM0_CODE","ADM0_NAME","ADM1_CODE","ADM1_NAME","ADM2_CODE","ADM2_NAME"
115,"India",1495,"Kerala",17706,"Pattanamtitta"
115,"India",1495,"Kerala",17709,"Thiruvananthapuram"
115,"India",1495,"Kerala",17708,"Thrissur"
115,"India",1495,"Kerala",17710,"Wayanad"
115,"India",1496,"Lakshadweep",70167,"Kavaratti"
115,"India",70079,"Madhya Pradesh",17712,"Balaghat"
115,"India",70079,"Madhya Pradesh",70170,"Barwani"
115,"India",70079,"Madhya Pradesh",17714,"Betul"
115,"India",70079,"Madhya Pradesh",17715,"Bhind"
115,"India",70079,"Madhya Pradesh",17716,"Bhopal"
115,"India",70079,"Madhya Pradesh",17718,"Chhatarpur"
115,"India",70079,"Madhya Pradesh",17719,"Chhindwara"
115,"India",70079,"Madhya Pradesh",17720,"Damoh"
115,"India",70079,"Madhya Pradesh",17721,"Datia"
115,"India",70079,"Madhya Pradesh",17722,"Dewas"
115,"India",70079,"Madhya Pradesh",17723,"Dhar"
115,"India",70079,"Madhya Pradesh",70172,"Dindori"
115,"India",70079,"Madhya Pradesh",17725,"East Nimar"
115,"India",70079,"Madhya Pradesh",17726,"Guna"
115,"India",70079,"Madhya Pradesh",17727,"Gwalior"
115,"India",70079,"Madhya Pradesh",70173,"Harda"
115,"India",70079,"Madhya Pradesh",17728,"Hoshangabad"
115,"India",70079,"Madhya Pradesh",17729,"Indore"
115,"India",70079,"Madhya Pradesh",17730,"Jabalpur"
115,"India",70079,"Madhya Pradesh",17731,"Jhabua"
115,"India",70079,"Madhya Pradesh",70174,"Katni"
115,"India",70079,"Madhya Pradesh",17732,"Mandla"
115,"India",70079,"Madhya Pradesh",17733,"Mandsaur"
115,"India",70079,"Madhya Pradesh",17734,"Morena"
115,"India",70079,"Madhya Pradesh",17735,"Narsinghpur"
115,"India",70079,"Madhya Pradesh",70175,"Neemuch"
115,"India",70079,"Madhya Pradesh",17736,"Panna"
115,"India",70079,"Madhya Pradesh",17739,"Raisen"
115,"India",70079,"Madhya Pradesh",17741,"Rajgarh"
115,"India",70079,"Madhya Pradesh",17742,"Ratlam"
115,"India",70079,"Madhya Pradesh",17743,"Rewa"
115,"India",70079,"Madhya Pradesh",17744,"Sagar"
115,"India",70079,"Madhya Pradesh",17745,"Satna"
115,"India",70079,"Madhya Pradesh",17746,"Sehore"
115,"India",70079,"Madhya Pradesh",17747,"Seoni"
115,"India",70079,"Madhya Pradesh",17748,"Shahdol"
115,"India",70079,"Madhya Pradesh",17749,"Shajapur"
115,"India",70079,"Madhya Pradesh",70176,"Sheopur"
115,"India",70079,"Madhya Pradesh",17750,"Shivpuri"
115,"India",70079,"Madhya Pradesh",17751,"Sidhi"
115,"India",70079,"Madhya Pradesh",17753,"Tikamgarh"
115,"India",70079,"Madhya Pradesh",17754,"Ujjain"
115,"India",70079,"Madhya Pradesh",70177,"Umaria"
115,"India",70079,"Madhya Pradesh",17755,"Vidisha"
115,"India",70079,"Madhya Pradesh",17756,"West Nimar"
115,"India",1498,"Maharashtra",70178,"Ahmednagar"
115,"India",1498,"Maharashtra",17758,"Akola"
115,"India",1498,"Maharashtra",17759,"Amravati"
115,"India",1498,"Maharashtra",17786,"Aurangabad"
